name,chain,lat,lon,address,source_url
Uno-X 7-Eleven Nygårdskrysset,Uno-X,59.72514647,10.7832488,"Kveldroveien 44, 1407, VINTERBRO",https://unox.no/finn-uno-x/lokasjon/10500220
CIRCLE K RANDABERG,Circle K,59.0011,5.617387,"Tungenesveien 8, 4070, Randaberg",https://www.circlek.no/station/52014
Uno-X Truck Borgeskogen,Uno-X,59.2461552246442,10.2531945705414,"Borgeskogen 45, 3160, STOKKE",https://unox.no/finn-uno-x/lokasjon/10501084
Uno-X Østre Rosten,Uno-X,63.36667693,10.38036346,"Østre Rosten 8, 7075, Tiller",https://unox.no/finn-uno-x/lokasjon/10500779
YX Birkeland,YX,58.328,8.23069,"Birkelandsveien 1271, 4760 BIRKELAND",https://www.yx.no/stasjon/yx-birkeland-10400574
CIRCLE K BRUMUNDDAL,Circle K,60.882687,10.939159,"Nygata 14, 2380, Brumunddal",https://www.circlek.no/station/53122
CIRCLE K AUTOMAT SKJEBERG,Circle K,59.268932,11.169328,"Iseveien 9, 1738, Borgenhaugen",https://www.circlek.no/station/57059
CIRCLE K AUTOMAT HATLANE,Circle K,62.461643,6.273102,"Borgundvegen 549, 6016, Ålesund",https://www.circlek.no/station/52392
CIRCLE K LAMPELAND,Circle K,59.83474,9.57864,"Stasjonsvegen 2, 3623, Lampeland",https://www.circlek.no/station/51550
Uno-X Tromsdalen,Uno-X,69.6408921,18.9714408,"Solstrandv. 47, 9020, Tromsdalen",https://unox.no/finn-uno-x/lokasjon/10500668
CIRCLE K AUTOMAT BOBY'N,Circle K,63.782944,11.470647,"Magnus den Godes veg 21, 7653, Verdal",https://www.circlek.no/station/57063
Uno-X Truck Rom Lyngdal,Uno-X,58.156809,7.100032,"Mandalsveien 45, 4580, Lyngdal",https://unox.no/finn-uno-x/lokasjon/10505534
CIRCLE K DRANGEDAL,Circle K,59.08993,9.064862,"Drangedalsveien 3303, 3750, Drangedal",https://www.circlek.no/station/51754
YX Tovik,YX,68.6793,16.8726,"Tovika 56, 9445 TOVIK",https://www.yx.no/stasjon/yx-tovik-10400603
YX Naustdal,YX,61.5075,5.71785,"Fjordavegen 2, 6817 NAUSTDAL",https://www.yx.no/stasjon/yx-naustdal-10400501
CIRCLE K KORGEN,Circle K,66.08147,13.826967,"Olderneset, 8646, Korgen",https://www.circlek.no/station/55353
